engagement_id,campaign_id,hcp_id,interaction_type,interaction_date,engagement_duration_sec
1,96,1495,download,2025-01-29,218
2,177,1621,click,2025-10-28,330
3,161,1735,view,2025-10-28,761
4,139,1353,download,2025-12-11,143
5,112,1379,open,2026-01-10,336
6,75,1477,open,2025-07-24,283
7,13,1253,click,2025-09-03,109
8,12,1297,download,2025-07-19,894
9,56,1428,click,2025-10-25,896
10,116,1163,view,2025-10-09,601
11,55,1320,click,2025-06-04,791
12,87,1510,download,2025-05-17,520
13,59,1315,download,2025-11-08,33
14,183,1967,download,2025-04-23,527
15,94,1989,click,2025-07-16,230
16,140,1361,open,2025-05-16,61
17,111,1506,download,2025-03-10,302
18,171,1008,open,2025-07-02,451
19,162,1903,view,2025-02-14,754
20,63,1782,download,2025-12-12,384
21,28,1410,open,2025-07-30,593
22,72,1199,view,2025-03-20,576
23,51,1075,download,2025-07-19,526
24,89,1782,view,2025-12-26,855
25,126,1696,open,2025-08-27,141
26,29,1403,view,2025-08-17,823
27,88,1571,view,2025-06-06,783
28,31,1203,download,2025-03-09,522
29,180,1046,open,2025-10-15,150
30,183,1341,download,2025-06-02,541
31,73,1152,click,2025-09-14,345
32,33,1627,view,2025-06-27,176
33,141,1631,view,2025-11-30,617
34,171,1519,download,2025-06-19,735
35,4,1306,download,2025-03-11,845
36,17,1377,view,2025-11-08,699
37,29,1426,view,2025-08-18,825
38,11,1742,open,2025-03-08,621
39,60,1271,click,2025-10-01,748
40,40,1597,download,2025-02-23,184
41,159,1644,download,2025-12-20,161
42,162,1697,click,2025-03-30,42
43,178,1970,open,2025-09-15,205
44,125,1451,view,2025-02-14,438
45,1,1422,click,2025-07-23,430
46,158,1793,download,2025-11-13,878
47,200,1744,open,2025-05-20,732
48,135,1531,click,2025-02-17,584
49,129,1678,download,2025-08-08,548
50,135,1321,click,2025-03-05,480
51,95,1545,view,2025-12-18,569
52,14,1692,view,2025-09-06,634
53,166,1196,click,2025-06-19,295
54,175,1305,click,2025-07-02,314
55,20,1295,click,2025-11-23,716
56,48,1500,view,2025-03-03,501
57,166,1573,view,2025-06-11,304
58,196,1587,download,2025-02-06,414
59,66,1353,click,2025-06-14,307
60,165,1294,open,2025-04-14,364
61,106,1452,view,2025-06-20,775
62,145,1219,click,2025-08-14,857
63,118,1277,view,2025-11-01,150
64,25,1630,click,2025-03-10,258
65,71,1685,click,2025-02-24,663
66,12,1053,open,2025-07-30,433
67,160,1734,download,2025-05-16,112
68,28,1789,click,2025-09-09,15
69,120,1951,click,2025-05-05,426
70,40,1957,download,2025-04-02,498
71,169,1204,view,2025-02-20,338
72,29,1661,open,2025-08-29,797
73,65,1667,click,2025-10-08,557
74,162,1740,open,2025-03-25,189
75,153,1903,click,2025-05-16,47
76,197,1406,download,2025-11-26,200
77,1,1766,view,2025-09-11,48
78,62,1305,open,2025-08-21,353
79,107,1465,download,2025-07-30,147
80,136,1516,download,2025-10-24,289
81,65,1828,open,2025-10-15,348
82,73,1748,download,2025-08-26,673
83,57,1735,click,2025-10-13,24
84,127,1345,view,2026-01-16,591
85,154,1775,click,2025-02-12,189
86,130,1876,download,2025-11-12,856
87,101,1527,view,2025-09-18,98
88,185,1685,open,2025-05-08,199
89,129,1488,view,2025-07-27,264
90,105,1267,download,2025-04-23,251
91,184,1771,view,2025-03-26,347
92,155,1596,open,2025-05-31,277
93,167,1368,click,2025-06-23,73
94,58,1121,download,2025-09-07,324
95,13,1415,view,2025-08-16,716
96,25,1654,view,2025-03-11,386
97,162,1226,click,2025-03-17,146
98,133,1156,download,2025-03-30,775
99,147,1382,download,2025-08-20,728
100,128,1934,download,2025-09-09,785
101,81,1821,click,2025-08-30,790
102,76,1696,open,2025-07-11,548
103,41,1540,view,2025-11-30,89
104,83,1577,open,2025-05-30,73
105,14,1560,click,2025-10-07,596
106,49,1153,click,2025-08-22,345
107,11,1532,download,2025-03-05,129
108,70,1210,download,2025-08-13,103
109,24,1522,download,2025-09-26,838
110,52,1464,click,2025-02-24,535
111,86,1467,open,2025-08-31,582
112,88,1688,view,2025-06-14,750
113,39,1405,view,2025-12-01,846
114,71,1763,click,2025-02-21,602
115,41,1046,download,2025-11-06,362
116,6,1065,open,2025-07-04,80
117,132,1483,open,2025-11-27,303
118,13,1184,click,2025-09-01,794
119,129,1746,download,2025-08-29,393
120,41,1391,download,2025-12-29,900
121,199,1928,download,2025-12-11,394
122,65,1699,click,2025-10-08,679
123,151,1356,open,2025-06-29,192
124,18,1402,click,2025-12-03,755
125,164,1854,open,2025-05-03,784
126,37,1305,download,2025-01-03,699
127,89,1557,download,2026-01-13,554
128,82,1843,click,2025-02-15,263
129,79,1354,click,2025-01-29,292
130,6,1959,open,2025-06-02,42
131,32,1676,download,2025-05-24,639
132,165,1958,open,2025-05-31,256
133,200,1068,open,2025-04-16,618
134,9,1457,open,2025-10-24,260
135,11,1045,download,2025-02-26,459
136,172,1552,click,2025-09-04,782
137,22,1794,open,2025-07-18,153
138,199,1296,click,2025-11-15,845
139,88,1749,view,2025-07-13,601
140,160,1791,view,2025-06-02,252
141,96,1897,click,2025-01-22,686
142,111,1226,download,2025-03-25,317
143,86,1062,click,2025-08-22,651
144,42,1437,download,2025-12-19,58
145,21,1964,download,2025-09-23,814
146,103,1326,download,2025-04-06,428
147,91,1307,download,2025-09-17,198
148,96,1550,download,2025-02-20,256
149,17,1230,view,2025-12-31,888
150,90,1147,download,2025-09-25,69
151,101,1422,download,2025-09-26,580
152,89,1137,download,2025-12-31,258
153,38,1208,view,2025-04-13,672
154,46,1944,download,2025-08-24,877
155,14,1094,click,2025-09-07,62
156,136,1386,open,2025-09-17,84
157,167,1823,click,2025-05-25,500
158,59,1890,view,2025-09-26,320
159,157,1015,click,2025-12-24,204
160,166,1120,download,2025-07-06,258
161,50,1618,click,2025-10-26,416
162,101,1245,view,2025-10-19,804
163,46,1389,download,2025-09-06,556
164,52,1367,view,2025-04-03,277
165,127,1525,download,2025-12-23,487
166,72,1822,download,2025-02-19,789
167,179,1327,click,2025-11-25,389
168,123,1423,open,2025-03-11,586
169,126,1226,click,2025-09-12,26
170,117,1566,download,2025-09-09,312
171,192,1200,view,2025-02-10,245
172,158,1583,click,2025-11-05,521
173,166,1670,view,2025-06-24,273
174,41,1841,download,2025-12-20,750
175,96,1757,download,2025-02-13,481
176,135,1750,view,2025-02-19,183
177,77,1737,download,2025-04-10,198
178,170,1910,open,2025-03-13,546
179,73,1859,open,2025-08-18,847
180,52,1049,open,2025-04-04,432
181,177,1862,click,2025-10-15,79
182,67,1154,open,2025-03-26,233
183,109,1466,view,2025-08-23,71
184,8,1653,download,2025-07-08,685
185,89,1016,open,2025-12-29,554
186,46,1421,open,2025-09-23,27
187,124,1739,view,2025-06-23,558
188,173,1017,download,2025-08-10,835
189,161,1931,click,2025-11-02,119
190,131,1098,click,2025-12-29,256
191,57,1634,view,2025-10-09,844
192,92,1273,download,2025-02-23,90
193,60,1982,download,2025-09-24,480
194,61,1249,click,2025-10-17,317
195,121,1847,open,2025-12-11,679
196,15,1665,open,2025-03-01,105
197,79,1388,download,2025-01-25,575
198,30,1057,open,2025-12-15,729
199,49,1084,download,2025-07-29,875
200,198,1660,view,2025-05-11,589
201,198,1997,open,2025-06-07,550
202,74,1043,click,2025-06-16,226
203,66,1888,download,2025-06-19,287
204,22,1946,open,2025-05-26,710
205,118,1287,open,2025-11-26,193
206,20,1870,view,2025-12-03,26
207,59,1601,click,2025-09-26,780
208,181,1729,download,2025-04-21,88
209,90,1166,click,2025-08-30,590
210,22,1869,download,2025-07-16,703
211,162,1553,view,2025-04-04,403
212,67,1757,click,2025-03-29,819
213,22,1741,open,2025-07-07,522
214,70,1997,view,2025-08-17,64
215,127,1447,click,2025-12-06,868
216,99,1348,download,2025-01-29,802
217,165,1030,view,2025-05-02,812
218,50,1502,click,2025-10-10,374
219,164,1963,download,2025-05-24,452
220,145,1696,download,2025-07-26,97
221,40,1633,view,2025-04-10,827
222,125,1730,open,2025-02-28,94
223,69,1157,download,2025-05-12,738
224,33,1649,click,2025-06-18,767
225,105,1324,view,2025-05-17,119
226,41,1005,view,2025-11-07,465
227,133,1779,view,2025-03-23,114
228,31,1089,click,2025-03-08,451
229,22,1570,download,2025-06-21,115
230,31,1091,view,2025-03-01,577
231,8,1611,view,2025-06-04,894
232,27,1012,view,2025-06-04,433
233,188,1797,open,2025-02-23,752
234,35,1572,click,2025-04-28,595
235,183,1173,download,2025-05-21,183
236,10,1275,view,2025-09-17,284
237,51,1149,open,2025-08-01,181
238,77,1282,download,2025-04-29,316
239,166,1801,open,2025-06-19,379
240,192,1966,click,2025-02-17,748
241,157,1507,click,2025-12-06,478
242,57,1138,view,2025-10-03,16
243,28,1405,view,2025-09-26,871
244,55,1389,view,2025-05-28,460
245,93,1440,click,2025-04-30,317
246,42,1617,click,2025-11-26,500
247,87,1181,download,2025-05-27,336
248,19,1752,download,2025-12-14,599
249,171,1248,view,2025-07-18,395
250,158,1836,download,2025-10-29,383
251,84,1954,click,2025-04-04,616
252,44,1184,open,2025-06-12,754
253,75,1965,click,2025-08-07,458
254,34,1298,open,2025-06-29,848
255,77,1814,download,2025-05-26,699
256,120,1142,view,2025-05-01,257
257,143,1674,click,2025-03-10,742
258,140,1808,download,2025-05-06,85
259,93,1612,download,2025-05-07,606
260,59,1547,download,2025-10-08,566
261,56,1809,view,2025-09-18,728
262,91,1831,open,2025-11-04,121
263,117,1254,view,2025-10-12,180
264,20,1627,open,2025-11-15,586
265,175,1693,download,2025-07-08,780
266,62,1988,download,2025-09-11,118
267,165,1100,view,2025-04-12,237
268,37,1764,click,2025-02-03,466
269,99,1400,download,2025-02-17,800
270,127,1602,click,2026-01-12,363
271,76,1494,open,2025-06-27,312
272,118,1942,open,2025-10-24,128
273,23,1963,click,2025-08-11,366
274,90,1351,download,2025-08-30,813
275,165,1533,download,2025-04-25,366
276,7,1099,download,2025-05-10,749
277,190,1463,view,2025-03-19,78
278,85,1045,open,2025-08-03,33
279,91,1351,open,2025-11-01,703
280,176,1168,click,2025-07-17,538
281,28,1565,click,2025-08-08,348
282,33,1436,download,2025-06-03,247
283,118,1414,click,2025-11-18,200
284,195,1673,download,2025-07-30,415
285,102,1755,click,2025-07-01,470
286,19,1439,download,2026-01-02,14
287,36,1219,click,2025-12-08,295
288,3,1720,open,2025-10-09,601
289,6,1818,click,2025-05-27,384
290,94,1201,download,2025-07-07,126
291,115,1686,download,2025-10-17,550
292,172,1320,download,2025-09-30,635
293,66,1601,open,2025-05-18,366
294,71,1865,download,2025-03-15,642
295,93,1833,view,2025-04-20,639
296,70,1086,click,2025-08-07,330
297,39,1244,view,2025-12-07,129
298,81,1382,click,2025-08-07,533
299,172,1428,click,2025-09-14,598
300,107,1433,click,2025-08-05,508
301,5,1550,click,2025-08-21,578
302,84,1501,view,2025-04-07,153
303,199,1322,download,2025-10-25,644
304,195,1886,view,2025-06-23,19
305,184,1139,click,2025-03-29,844
306,47,1986,download,2025-01-29,428
307,88,1503,download,2025-06-28,737
308,81,1454,download,2025-09-18,181
309,162,1578,open,2025-02-11,824
310,28,1225,view,2025-09-14,43
311,22,1230,view,2025-06-10,182
312,156,1468,download,2025-03-05,572
313,75,1115,open,2025-08-10,284
314,177,1556,view,2025-11-25,565
315,130,1774,open,2025-11-25,788
316,42,1451,click,2025-12-22,445
317,63,1753,click,2025-11-25,314
318,18,1033,download,2025-12-24,279
319,77,1882,open,2025-04-24,459
320,20,1120,click,2025-11-29,224
321,53,1755,view,2025-03-03,891
