metric_id,brand_id,visit_date,page_views,unique_visitors,bounce_rate
1,2,2025-06-30,1038,645,0.28
2,3,2025-01-25,7239,2165,0.53
3,4,2025-06-20,7307,4835,0.37
4,2,2025-06-05,6051,4359,0.43
5,3,2025-02-18,1661,4926,0.49
6,3,2025-01-09,2371,2001,0.63
7,3,2025-08-02,5664,2827,0.35
8,2,2025-02-28,6887,4279,0.5
9,4,2025-07-22,5605,1479,0.52
10,1,2025-04-17,9406,4503,0.59
11,1,2025-06-10,7361,3477,0.34
12,3,2025-09-27,8891,484,0.56
13,1,2025-07-10,4753,1120,0.43
14,2,2025-08-01,8108,3938,0.2
15,3,2025-01-18,4745,4901,0.27
16,3,2025-12-14,7522,3241,0.59
17,4,2025-06-10,6289,983,0.79
18,4,2025-04-27,4981,343,0.47
19,2,2025-07-05,2160,1840,0.51
20,3,2025-06-26,7270,1545,0.69
21,2,2025-09-08,5447,2864,0.45
22,3,2025-11-05,5983,4557,0.29
23,2,2025-12-04,5404,4189,0.44
24,3,2025-03-15,7494,3865,0.44
25,3,2025-01-21,7590,886,0.3
26,2,2025-09-04,5391,2315,0.26
27,4,2025-04-26,6798,4963,0.64
28,2,2025-04-14,2953,3244,0.6
29,1,2025-08-06,4165,4078,0.77
30,3,2025-02-06,3114,590,0.51
31,2,2025-11-17,1815,3401,0.61
32,4,2025-05-15,4824,2359,0.67
33,4,2025-04-06,7657,4506,0.75
34,2,2025-10-24,553,3947,0.24
35,1,2025-11-11,7117,2274,0.35
36,1,2025-01-25,9487,1372,0.44
37,4,2025-01-22,1845,4331,0.63
38,4,2025-01-13,1431,1133,0.41
39,4,2025-08-15,843,3073,0.65
40,1,2025-03-10,1558,4975,0.68
41,3,2025-01-07,9252,2808,0.59
42,1,2025-10-29,8381,2564,0.3
43,1,2025-07-24,2646,1362,0.74
44,3,2025-12-16,5360,3131,0.25
45,2,2025-10-06,9082,2895,0.71
46,2,2025-02-01,8039,445,0.54
47,1,2025-09-01,6163,3910,0.61
48,2,2025-11-16,9618,4840,0.79
49,1,2025-12-15,5601,4970,0.76
50,3,2025-06-08,1098,1187,0.73
51,2,2025-03-28,6378,2326,0.6
52,4,2025-09-30,7059,2067,0.26
53,3,2025-12-04,8888,784,0.2
54,4,2025-05-21,7747,632,0.36
55,2,2025-03-09,6382,3877,0.56
56,2,2025-07-19,5066,577,0.7
57,4,2025-08-14,2952,4527,0.3
58,3,2025-03-14,8705,2492,0.69
59,4,2025-06-10,1789,4605,0.63
60,4,2025-08-08,8993,2513,0.25
61,2,2025-11-19,2934,2148,0.37
62,4,2025-12-13,6237,1873,0.65
63,1,2025-01-03,6920,1397,0.48
64,2,2025-07-12,2781,3405,0.36
65,2,2025-06-18,1960,1108,0.35
66,4,2025-12-01,5748,4044,0.26
67,4,2025-10-09,8805,2495,0.5
68,3,2025-07-29,8753,4237,0.78
69,1,2025-03-14,7555,2288,0.45
70,3,2025-06-21,9893,2490,0.51
71,3,2025-06-06,1223,1202,0.46
72,4,2025-04-17,6047,4737,0.75
73,4,2025-05-12,7700,4514,0.56
74,2,2025-10-21,5528,3890,0.66
75,2,2025-02-20,3927,537,0.34
